File,Directory,Mapping Count,Schedule Types,Mapping 1 Best Energy,Mapping 1 Final Energy,Mapping 1 Total Iterations,Mapping 1 Trimmed Iterations,Mapping 1 Best Iteration,Mapping 2 Best Energy,Mapping 2 Final Energy,Mapping 2 Total Iterations,Mapping 2 Trimmed Iterations,Mapping 2 Best Iteration,Run Time (s),Mapping 3 Best Energy,Mapping 3 Final Energy,Mapping 3 Total Iterations,Mapping 3 Trimmed Iterations,Mapping 3 Best Iteration,Mapping 4 Best Energy,Mapping 4 Final Energy,Mapping 4 Total Iterations,Mapping 4 Trimmed Iterations,Mapping 4 Best Iteration,Mapping 5 Best Energy,Mapping 5 Final Energy,Mapping 5 Total Iterations,Mapping 5 Trimmed Iterations,Mapping 5 Best Iteration
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_202025.json,2,2,UP_FLAT_UP_FLAT,-1.014029935,-1.044956496,432,305,382,-1.014093147,-1.005820813,432,315,420,163.237289,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_202324.json,2,2,UP_FLAT_UP_FLAT,-1.006358174,-1.006059936,432,289,250,-1.004059195,-1.030971557,432,323,301,165.618811,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_202622.json,2,2,UP_FLAT_UP_FLAT,-1.008396987,-1.039298381,432,342,422,-1.018395055,-1.044120219,432,315,412,164.406361,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_202917.json,2,2,UP_FLAT_UP_FLAT,-1.006173328,-1.020422062,432,290,286,-1.01926117,-1.059075028,432,315,426,162.840144,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_203209.json,2,2,UP_FLAT_UP_FLAT,-0.996878184,-0.998793198,432,289,282,-0.848571682,-0.489235287,432,290,143,158.117321,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_203505.json,2,2,UP_FLAT_UP_FLAT,-1.011059139,-1.029116435,432,340,420,-0.804629904,-0.488175854,432,315,143,163.265518,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_203801.json,2,2,UP_FLAT_UP_FLAT,-1.010178712,-0.987989946,432,289,256,-1.015396564,-0.981467219,432,305,347,162.67535,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_204053.json,2,2,UP_FLAT_UP_FLAT,-1.00203757,-0.971841677,432,289,276,-0.88811475,-0.876853232,432,318,372,158.324038,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_204351.json,2,2,UP_FLAT_UP_FLAT,-1.037555837,-1.008040216,432,290,287,-1.029721014,-0.977005215,432,301,299,164.867237,,,,,,,,,,,,,,,
dual_mapping_UP_FLAT_vs_UP_FLAT_20250402_204650.json,2,2,UP_FLAT_UP_FLAT,-0.995077248,-1.040928047,432,289,284,-1.029532038,-0.990059126,432,432,358,165.921561,,,,,,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_000719.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.002579685,-0.983730784,432,289,246,-1.017021582,-0.968216111,432,290,286,229.865737,-0.988749071,-0.965081704,432,432,366,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_001125.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.004299688,-0.988882527,432,289,251,-0.975568863,-0.925416671,432,290,248,233.149369,-1.037314796,-1.020352292,432,432,332,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_001534.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.01395896,-1.004672286,432,289,275,-0.987540766,-0.966410037,432,290,275,236.559424,-0.95367766,-0.943651754,432,432,372,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_001935.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.004513648,-1.008640598,432,289,238,-1.022585867,-1.014481586,432,290,280,227.363226,-1.015428382,-0.978232209,432,291,267,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_002337.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.025624122,-1.009151398,432,289,280,-0.992009679,-0.981702776,432,289,244,229.154593,-1.006151575,-0.990713028,432,289,285,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_002743.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.014482124,-0.996635563,432,289,283,-0.865247615,-0.853010125,432,289,261,232.855772,-0.986770174,-0.961402995,432,289,272,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_003144.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-0.986531882,-0.977212254,432,289,215,-1.002791689,-0.988047984,432,432,417,227.573076,-1.041615128,-1.023870684,432,432,333,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_003549.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.027734191,-1.019564295,432,289,279,-0.993750271,-0.955455809,432,291,285,231.938255,-1.027939739,-1.020235908,432,289,264,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_003955.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-0.987346438,-0.980048839,432,289,236,-0.999352542,-0.979150204,432,432,409,233.91232,-0.981017,-0.972574942,432,289,269,,,,,,,,,,
parallel_mapping_UP_FLAT_UP_FLAT_UP_FLAT_20250405_004355.json,3,3,UP_FLAT_UP_FLAT_UP_FLAT,-1.036221481,-1.018058746,432,289,257,-0.972907544,-0.963395333,432,432,403,227.175664,-1.03718232,-1.027725028,432,289,282,,,,,,,,,,
