iterations,execution,best_energy,final_energy,total_iterations,trimmed_iterations,best_iteration,avg_esp
56,1,-1.0419737030515457,-1.0355555490952209,336,336,302,0.8594220191038073
56,10,-0.7488854728774678,-0.7399885122905757,336,336,334,0.8594220191038073
56,2,-0.9829666267503293,-0.9551706847963816,336,336,332,0.8594220191038073
56,3,-1.0241073538219199,-1.0178751997390767,336,289,281,0.8594220191038073
56,4,-1.0089814006804254,-0.9795852344196163,336,289,262,0.8594220191038073
56,5,-1.0719614535108737,-1.0684885676089682,336,289,282,0.8594220191038073
56,6,-1.0386811444901682,-1.027935963699218,336,289,286,0.8594220191038073
56,7,-1.0396904431872065,-1.0330548340987193,336,289,250,0.8594220191038073
56,8,-1.0299239306459143,-1.0150124077501363,336,289,269,0.8594220191038073
56,9,-1.0503043810040753,-1.0281237616519696,336,289,280,0.8594220191038073
64,1,-1.065165683811578,-1.0382719375582,384,289,249,0.8594220191038073
64,10,-0.7813721728690343,-0.7730913624032387,384,384,369,0.8594220191038073
64,2,-1.0538937712062229,-1.0366070891291896,384,289,250,0.8594220191038073
64,3,-1.0009306151899484,-0.9753422515850119,384,289,243,0.8594220191038073
64,4,-1.0383567868033794,-1.0261542483485844,384,289,242,0.8594220191038073
64,5,-1.0272089427748035,-1.0147186283400063,384,289,234,0.8594220191038073
64,6,-1.0286455055151702,-1.00726667502192,384,289,278,0.8594220191038073
64,7,-1.0604946079415067,-1.0477513526354096,384,289,256,0.8594220191038073
64,8,-1.0477425367109872,-1.0350391710508589,384,289,251,0.8594220191038073
64,9,-1.0608789281774755,-1.0478919107876314,384,289,253,0.8594220191038073
72,1,-1.010866645386568,-0.9955681462910662,432,289,202,0.8594220191038073
72,10,-1.007703855760406,-0.9837155025357335,432,289,277,0.8594220191038073
72,2,-0.9655533431133315,-0.9454901009699758,432,289,276,0.8594220191038073
72,3,-1.0624658147566541,-1.0295229085155602,432,289,269,0.8594220191038073
72,4,-0.9839087746986411,-0.9673585938793487,432,432,379,0.8594220191038073
72,5,-1.0527059715452072,-1.031650888490599,432,289,237,0.8594220191038073
72,6,-1.042920353281676,-1.0289419923556606,432,289,259,0.8594220191038073
72,7,-1.0382923706983744,-1.0111338958473832,432,291,289,0.8594220191038073
72,8,-1.0844541833890409,-1.0732972795013185,432,289,217,0.8594220191038073
72,9,-1.0616058587985449,-1.0480551178173874,432,289,239,0.8594220191038073
80,1,-1.0411439581655633,-1.0099296440033125,480,291,290,0.8594220191038073
80,10,-1.0605658495454207,-1.045389441033726,480,289,282,0.8594220191038073
80,2,-1.0619728187692061,-1.041960881308904,480,289,284,0.8594220191038073
80,3,-1.021309548927631,-1.008752227038395,480,480,437,0.8594220191038073
80,4,-1.0611212386647735,-1.0122931244093416,480,289,240,0.8594220191038073
80,5,-1.0280908820598638,-1.012651886673582,480,289,254,0.8594220191038073
80,6,-1.0643129280398178,-1.0475434988575782,480,291,275,0.8594220191038073
80,7,-1.0648842530193412,-1.0291833910531045,480,323,308,0.8594220191038073
80,8,-1.0780593027946996,-1.0759806520137138,480,289,255,0.8594220191038073
80,9,-0.9768964356176859,-0.966041499429697,480,289,284,0.8594220191038073
88,1,-1.0049917927074685,-0.9436844771204389,528,289,284,0.8594220191038073
88,10,-1.0654242866265418,-0.9989435711550941,528,289,265,0.8594220191038073
88,2,-1.031753919199656,-0.9721002959069455,528,289,253,0.8594220191038073
88,3,-1.0411337797743456,-0.9925358041671613,528,289,262,0.8594220191038073
88,4,-1.0322163772844348,-1.000443075633282,528,289,261,0.8594220191038073
88,5,-0.9714782863548005,-0.9023255805345886,528,291,271,0.8594220191038073
88,6,-1.057580043730984,-0.9851023740099675,528,289,286,0.8594220191038073
88,7,-1.0470292002646093,-1.0338272031732125,528,289,286,0.8594220191038073
88,8,-1.028576903083749,-1.0062712110459142,528,289,270,0.8594220191038073
88,9,-1.0459893360524575,-0.9974850154311524,528,289,270,0.8594220191038073
