iterations,execution,best_energy,final_energy,total_iterations,trimmed_iterations,best_iteration,avg_esp
80,1,-1.0411439581655633,-1.0099296440033125,480,291,290,0.8594220191038073
80,10,-1.0605658495454207,-1.045389441033726,480,289,282,0.8594220191038073
80,2,-1.0619728187692061,-1.041960881308904,480,289,284,0.8594220191038073
80,3,-1.021309548927631,-1.008752227038395,480,480,437,0.8594220191038073
80,4,-1.0611212386647735,-1.0122931244093416,480,289,240,0.8594220191038073
80,5,-1.0280908820598638,-1.012651886673582,480,289,254,0.8594220191038073
80,6,-1.0643129280398178,-1.0475434988575782,480,291,275,0.8594220191038073
80,7,-1.0648842530193412,-1.0291833910531045,480,323,308,0.8594220191038073
80,8,-1.0780593027946996,-1.0759806520137138,480,289,255,0.8594220191038073
80,9,-0.9768964356176859,-0.966041499429697,480,289,284,0.8594220191038073
